sku,price,errors
51620,10.490,"Product Type is invalid or not supported"
51621,12.590,"Product Type is invalid or not supported"
51623,2.720,"Product Type is invalid or not supported"
51625,14.990,"Product Type is invalid or not supported"
51626,12.990,"Product Type is invalid or not supported"
51627,6.290,"Product Type is invalid or not supported"
51629-BK,1.100,"Product Type is invalid or not supported"
51629-SR,1.100,"Product Type is invalid or not supported"
51629-WE,1.100,"Product Type is invalid or not supported"
51630,11.860,"Product Type is invalid or not supported"
51631,4.990,"Product Type is invalid or not supported"
51632,2.960,"Product Type is invalid or not supported"
51633,2.090,"Product Type is invalid or not supported"
51634,5.760,"Product Type is invalid or not supported"
51635,19.520,"Product Type is invalid or not supported"
51636,32.650,"Product Type is invalid or not supported"
51637,23.090,"Product Type is invalid or not supported"
51638-S,20.780,"Product Type is invalid or not supported"
51639,37.260,"Product Type is invalid or not supported"
51640,49.860,"Product Type is invalid or not supported"
51641,1.880,"Product Type is invalid or not supported"
51642,5.220,"Product Type is invalid or not supported"
51643,5.230,"Product Type is invalid or not supported"
51644,2.480,"Product Type is invalid or not supported"
51645,11.700,"Product Type is invalid or not supported"
51647,12.430,"Product Type is invalid or not supported"
51648,4.090,"Product Type is invalid or not supported"
51649,32.390,"Product Type is invalid or not supported"
51650-BK,0.630,"Product Type is invalid or not supported"
51650-SR,0.630,"Product Type is invalid or not supported"
51651,8.920,"Product Type is invalid or not supported"
51652,9.330,"Product Type is invalid or not supported"
51653,13.330,"Product Type is invalid or not supported"
51654,3.500,"Product Type is invalid or not supported"
51655,3.500,"Product Type is invalid or not supported"
51656,1.850,"Product Type is invalid or not supported"
51657,5.460,"Product Type is invalid or not supported"
51658,6.290,"Product Type is invalid or not supported"
51659,24.980,"Product Type is invalid or not supported"
51660,3.720,"Product Type is invalid or not supported"
51661,4.990,"Product Type is invalid or not supported"
51663,6.790,"Product Type is invalid or not supported"
51665-WE,1.520,"Product Type is invalid or not supported"
51666-BK,14.990,"Product Type is invalid or not supported"
51666-WE,14.990,"Product Type is invalid or not supported"
